date_key,day_id,date,year,quarter,month,month_name,year_month,day_of_month,wday,weekday_name,is_weekend,wm_yr_wk,weekday,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
20110427,d_89,2011-04-27,2011,2,4,April,2011-04,27,5,Wednesday,0,11113,Wednesday,,,,,0,0,0
20110428,d_90,2011-04-28,2011,2,4,April,2011-04,28,6,Thursday,0,11113,Thursday,,,,,0,0,0
20110429,d_91,2011-04-29,2011,2,4,April,2011-04,29,7,Friday,0,11113,Friday,,,,,0,0,0
20110430,d_92,2011-04-30,2011,2,4,April,2011-04,30,1,Saturday,1,11114,Saturday,,,,,0,0,0
20110501,d_93,2011-05-01,2011,2,5,May,2011-05,1,2,Sunday,1,11114,Sunday,,,,,1,1,0
20110502,d_94,2011-05-02,2011,2,5,May,2011-05,2,3,Monday,0,11114,Monday,,,,,1,0,1
20110503,d_95,2011-05-03,2011,2,5,May,2011-05,3,4,Tuesday,0,11114,Tuesday,,,,,1,1,1
20110504,d_96,2011-05-04,2011,2,5,May,2011-05,4,5,Wednesday,0,11114,Wednesday,,,,,1,0,0
20110505,d_97,2011-05-05,2011,2,5,May,2011-05,5,6,Thursday,0,11114,Thursday,Cinco De Mayo,Cultural,,,1,1,1
20110506,d_98,2011-05-06,2011,2,5,May,2011-05,6,7,Friday,0,11114,Friday,,,,,1,1,1
20110507,d_99,2011-05-07,2011,2,5,May,2011-05,7,1,Saturday,1,11115,Saturday,,,,,1,1,0
20110508,d_100,2011-05-08,2011,2,5,May,2011-05,8,2,Sunday,1,11115,Sunday,Mother's day,Cultural,,,1,0,1
20110509,d_101,2011-05-09,2011,2,5,May,2011-05,9,3,Monday,0,11115,Monday,,,,,1,1,1
20110510,d_102,2011-05-10,2011,2,5,May,2011-05,10,4,Tuesday,0,11115,Tuesday,,,,,1,0,0
20110511,d_103,2011-05-11,2011,2,5,May,2011-05,11,5,Wednesday,0,11115,Wednesday,,,,,0,1,1
20110512,d_104,2011-05-12,2011,2,5,May,2011-05,12,6,Thursday,0,11115,Thursday,,,,,0,1,1
20110513,d_105,2011-05-13,2011,2,5,May,2011-05,13,7,Friday,0,11115,Friday,,,,,0,1,0
20110514,d_106,2011-05-14,2011,2,5,May,2011-05,14,1,Saturday,1,11116,Saturday,,,,,0,0,1
20110515,d_107,2011-05-15,2011,2,5,May,2011-05,15,2,Sunday,1,11116,Sunday,,,,,0,1,1
20110516,d_108,2011-05-16,2011,2,5,May,2011-05,16,3,Monday,0,11116,Monday,,,,,0,0,0
20110517,d_109,2011-05-17,2011,2,5,May,2011-05,17,4,Tuesday,0,11116,Tuesday,,,,,0,0,0
20110518,d_110,2011-05-18,2011,2,5,May,2011-05,18,5,Wednesday,0,11116,Wednesday,,,,,0,0,0
20110519,d_111,2011-05-19,2011,2,5,May,2011-05,19,6,Thursday,0,11116,Thursday,,,,,0,0,0
20110520,d_112,2011-05-20,2011,2,5,May,2011-05,20,7,Friday,0,11116,Friday,,,,,0,0,0
20110521,d_113,2011-05-21,2011,2,5,May,2011-05,21,1,Saturday,1,11117,Saturday,,,,,0,0,0
20110522,d_114,2011-05-22,2011,2,5,May,2011-05,22,2,Sunday,1,11117,Sunday,,,,,0,0,0
20110523,d_115,2011-05-23,2011,2,5,May,2011-05,23,3,Monday,0,11117,Monday,,,,,0,0,0
20110524,d_116,2011-05-24,2011,2,5,May,2011-05,24,4,Tuesday,0,11117,Tuesday,,,,,0,0,0
20110525,d_117,2011-05-25,2011,2,5,May,2011-05,25,5,Wednesday,0,11117,Wednesday,,,,,0,0,0
20110526,d_118,2011-05-26,2011,2,5,May,2011-05,26,6,Thursday,0,11117,Thursday,,,,,0,0,0
20110527,d_119,2011-05-27,2011,2,5,May,2011-05,27,7,Friday,0,11117,Friday,,,,,0,0,0
20110528,d_120,2011-05-28,2011,2,5,May,2011-05,28,1,Saturday,1,11118,Saturday,,,,,0,0,0
20110529,d_121,2011-05-29,2011,2,5,May,2011-05,29,2,Sunday,1,11118,Sunday,,,,,0,0,0
20110530,d_122,2011-05-30,2011,2,5,May,2011-05,30,3,Monday,0,11118,Monday,MemorialDay,National,,,0,0,0
20110531,d_123,2011-05-31,2011,2,5,May,2011-05,31,4,Tuesday,0,11118,Tuesday,NBAFinalsStart,Sporting,,,0,0,0
20110601,d_124,2011-06-01,2011,2,6,June,2011-06,1,5,Wednesday,0,11118,Wednesday,,,,,1,1,0
20110602,d_125,2011-06-02,2011,2,6,June,2011-06,2,6,Thursday,0,11118,Thursday,,,,,1,0,1
20110603,d_126,2011-06-03,2011,2,6,June,2011-06,3,7,Friday,0,11118,Friday,,,,,1,1,1
20110604,d_127,2011-06-04,2011,2,6,June,2011-06,4,1,Saturday,1,11119,Saturday,,,,,1,0,0
20110605,d_128,2011-06-05,2011,2,6,June,2011-06,5,2,Sunday,1,11119,Sunday,,,,,1,1,1
20110606,d_129,2011-06-06,2011,2,6,June,2011-06,6,3,Monday,0,11119,Monday,,,,,1,1,1
20110607,d_130,2011-06-07,2011,2,6,June,2011-06,7,4,Tuesday,0,11119,Tuesday,,,,,1,1,0
20110608,d_131,2011-06-08,2011,2,6,June,2011-06,8,5,Wednesday,0,11119,Wednesday,,,,,1,0,1
20110609,d_132,2011-06-09,2011,2,6,June,2011-06,9,6,Thursday,0,11119,Thursday,,,,,1,1,1
20110610,d_133,2011-06-10,2011,2,6,June,2011-06,10,7,Friday,0,11119,Friday,,,,,1,0,0
20110611,d_134,2011-06-11,2011,2,6,June,2011-06,11,1,Saturday,1,11120,Saturday,,,,,0,1,1
20110612,d_135,2011-06-12,2011,2,6,June,2011-06,12,2,Sunday,1,11120,Sunday,NBAFinalsEnd,Sporting,,,0,1,1
20110613,d_136,2011-06-13,2011,2,6,June,2011-06,13,3,Monday,0,11120,Monday,,,,,0,1,0
20110614,d_137,2011-06-14,2011,2,6,June,2011-06,14,4,Tuesday,0,11120,Tuesday,,,,,0,0,1
20110615,d_138,2011-06-15,2011,2,6,June,2011-06,15,5,Wednesday,0,11120,Wednesday,,,,,0,1,1
20110616,d_139,2011-06-16,2011,2,6,June,2011-06,16,6,Thursday,0,11120,Thursday,,,,,0,0,0
20110617,d_140,2011-06-17,2011,2,6,June,2011-06,17,7,Friday,0,11120,Friday,,,,,0,0,0
20110618,d_141,2011-06-18,2011,2,6,June,2011-06,18,1,Saturday,1,11121,Saturday,,,,,0,0,0
20110619,d_142,2011-06-19,2011,2,6,June,2011-06,19,2,Sunday,1,11121,Sunday,Father's day,Cultural,,,0,0,0
20110620,d_143,2011-06-20,2011,2,6,June,2011-06,20,3,Monday,0,11121,Monday,,,,,0,0,0
20110621,d_144,2011-06-21,2011,2,6,June,2011-06,21,4,Tuesday,0,11121,Tuesday,,,,,0,0,0
20110622,d_145,2011-06-22,2011,2,6,June,2011-06,22,5,Wednesday,0,11121,Wednesday,,,,,0,0,0
20110623,d_146,2011-06-23,2011,2,6,June,2011-06,23,6,Thursday,0,11121,Thursday,,,,,0,0,0
20110624,d_147,2011-06-24,2011,2,6,June,2011-06,24,7,Friday,0,11121,Friday,,,,,0,0,0
20110625,d_148,2011-06-25,2011,2,6,June,2011-06,25,1,Saturday,1,11122,Saturday,,,,,0,0,0
20110626,d_149,2011-06-26,2011,2,6,June,2011-06,26,2,Sunday,1,11122,Sunday,,,,,0,0,0
20110627,d_150,2011-06-27,2011,2,6,June,2011-06,27,3,Monday,0,11122,Monday,,,,,0,0,0
20110628,d_151,2011-06-28,2011,2,6,June,2011-06,28,4,Tuesday,0,11122,Tuesday,,,,,0,0,0
20110629,d_152,2011-06-29,2011,2,6,June,2011-06,29,5,Wednesday,0,11122,Wednesday,,,,,0,0,0
20110630,d_153,2011-06-30,2011,2,6,June,2011-06,30,6,Thursday,0,11122,Thursday,,,,,0,0,0
20110701,d_154,2011-07-01,2011,3,7,July,2011-07,1,7,Friday,0,11122,Friday,,,,,1,1,0
20110702,d_155,2011-07-02,2011,3,7,July,2011-07,2,1,Saturday,1,11123,Saturday,,,,,1,0,1
20110703,d_156,2011-07-03,2011,3,7,July,2011-07,3,2,Sunday,1,11123,Sunday,,,,,1,1,1
20110704,d_157,2011-07-04,2011,3,7,July,2011-07,4,3,Monday,0,11123,Monday,IndependenceDay,National,,,1,0,0
20110705,d_158,2011-07-05,2011,3,7,July,2011-07,5,4,Tuesday,0,11123,Tuesday,,,,,1,1,1
20110706,d_159,2011-07-06,2011,3,7,July,2011-07,6,5,Wednesday,0,11123,Wednesday,,,,,1,1,1
20110707,d_160,2011-07-07,2011,3,7,July,2011-07,7,6,Thursday,0,11123,Thursday,,,,,1,1,0
20110708,d_161,2011-07-08,2011,3,7,July,2011-07,8,7,Friday,0,11123,Friday,,,,,1,0,1
20110709,d_162,2011-07-09,2011,3,7,July,2011-07,9,1,Saturday,1,11124,Saturday,,,,,1,1,1
20110710,d_163,2011-07-10,2011,3,7,July,2011-07,10,2,Sunday,1,11124,Sunday,,,,,1,0,0
20110711,d_164,2011-07-11,2011,3,7,July,2011-07,11,3,Monday,0,11124,Monday,,,,,0,1,1
20110712,d_165,2011-07-12,2011,3,7,July,2011-07,12,4,Tuesday,0,11124,Tuesday,,,,,0,1,1
20110713,d_166,2011-07-13,2011,3,7,July,2011-07,13,5,Wednesday,0,11124,Wednesday,,,,,0,1,0
20110714,d_167,2011-07-14,2011,3,7,July,2011-07,14,6,Thursday,0,11124,Thursday,,,,,0,0,1
20110715,d_168,2011-07-15,2011,3,7,July,2011-07,15,7,Friday,0,11124,Friday,,,,,0,1,1
20110716,d_169,2011-07-16,2011,3,7,July,2011-07,16,1,Saturday,1,11125,Saturday,,,,,0,0,0
20110717,d_170,2011-07-17,2011,3,7,July,2011-07,17,2,Sunday,1,11125,Sunday,,,,,0,0,0
20110718,d_171,2011-07-18,2011,3,7,July,2011-07,18,3,Monday,0,11125,Monday,,,,,0,0,0
20110719,d_172,2011-07-19,2011,3,7,July,2011-07,19,4,Tuesday,0,11125,Tuesday,,,,,0,0,0
20110720,d_173,2011-07-20,2011,3,7,July,2011-07,20,5,Wednesday,0,11125,Wednesday,,,,,0,0,0
20110721,d_174,2011-07-21,2011,3,7,July,2011-07,21,6,Thursday,0,11125,Thursday,,,,,0,0,0
20110722,d_175,2011-07-22,2011,3,7,July,2011-07,22,7,Friday,0,11125,Friday,,,,,0,0,0
20110723,d_176,2011-07-23,2011,3,7,July,2011-07,23,1,Saturday,1,11126,Saturday,,,,,0,0,0
20110724,d_177,2011-07-24,2011,3,7,July,2011-07,24,2,Sunday,1,11126,Sunday,,,,,0,0,0
20110725,d_178,2011-07-25,2011,3,7,July,2011-07,25,3,Monday,0,11126,Monday,,,,,0,0,0
20110726,d_179,2011-07-26,2011,3,7,July,2011-07,26,4,Tuesday,0,11126,Tuesday,,,,,0,0,0
20110727,d_180,2011-07-27,2011,3,7,July,2011-07,27,5,Wednesday,0,11126,Wednesday,,,,,0,0,0
20110728,d_181,2011-07-28,2011,3,7,July,2011-07,28,6,Thursday,0,11126,Thursday,,,,,0,0,0
20110729,d_182,2011-07-29,2011,3,7,July,2011-07,29,7,Friday,0,11126,Friday,,,,,0,0,0
20110730,d_183,2011-07-30,2011,3,7,July,2011-07,30,1,Saturday,1,11127,Saturday,,,,,0,0,0
20110731,d_184,2011-07-31,2011,3,7,July,2011-07,31,2,Sunday,1,11127,Sunday,,,,,0,0,0
20110801,d_185,2011-08-01,2011,3,8,August,2011-08,1,3,Monday,0,11127,Monday,Ramadan starts,Religious,,,1,1,0
20110802,d_186,2011-08-02,2011,3,8,August,2011-08,2,4,Tuesday,0,11127,Tuesday,,,,,1,0,1
20110803,d_187,2011-08-03,2011,3,8,August,2011-08,3,5,Wednesday,0,11127,Wednesday,,,,,1,1,1
20110804,d_188,2011-08-04,2011,3,8,August,2011-08,4,6,Thursday,0,11127,Thursday,,,,,1,0,0
20110805,d_189,2011-08-05,2011,3,8,August,2011-08,5,7,Friday,0,11127,Friday,,,,,1,1,1
20110806,d_190,2011-08-06,2011,3,8,August,2011-08,6,1,Saturday,1,11128,Saturday,,,,,1,1,1
20110807,d_191,2011-08-07,2011,3,8,August,2011-08,7,2,Sunday,1,11128,Sunday,,,,,1,1,0
20110808,d_192,2011-08-08,2011,3,8,August,2011-08,8,3,Monday,0,11128,Monday,,,,,1,0,1
20110809,d_193,2011-08-09,2011,3,8,August,2011-08,9,4,Tuesday,0,11128,Tuesday,,,,,1,1,1
20110810,d_194,2011-08-10,2011,3,8,August,2011-08,10,5,Wednesday,0,11128,Wednesday,,,,,1,0,0
20110811,d_195,2011-08-11,2011,3,8,August,2011-08,11,6,Thursday,0,11128,Thursday,,,,,0,1,1
20110812,d_196,2011-08-12,2011,3,8,August,2011-08,12,7,Friday,0,11128,Friday,,,,,0,1,1
20110813,d_197,2011-08-13,2011,3,8,August,2011-08,13,1,Saturday,1,11129,Saturday,,,,,0,1,0
20110814,d_198,2011-08-14,2011,3,8,August,2011-08,14,2,Sunday,1,11129,Sunday,,,,,0,0,1
20110815,d_199,2011-08-15,2011,3,8,August,2011-08,15,3,Monday,0,11129,Monday,,,,,0,1,1
20110816,d_200,2011-08-16,2011,3,8,August,2011-08,16,4,Tuesday,0,11129,Tuesday,,,,,0,0,0
20110817,d_201,2011-08-17,2011,3,8,August,2011-08,17,5,Wednesday,0,11129,Wednesday,,,,,0,0,0
20110818,d_202,2011-08-18,2011,3,8,August,2011-08,18,6,Thursday,0,11129,Thursday,,,,,0,0,0
20110819,d_203,2011-08-19,2011,3,8,August,2011-08,19,7,Friday,0,11129,Friday,,,,,0,0,0
20110820,d_204,2011-08-20,2011,3,8,August,2011-08,20,1,Saturday,1,11130,Saturday,,,,,0,0,0
20110821,d_205,2011-08-21,2011,3,8,August,2011-08,21,2,Sunday,1,11130,Sunday,,,,,0,0,0
20110822,d_206,2011-08-22,2011,3,8,August,2011-08,22,3,Monday,0,11130,Monday,,,,,0,0,0
20110823,d_207,2011-08-23,2011,3,8,August,2011-08,23,4,Tuesday,0,11130,Tuesday,,,,,0,0,0
20110824,d_208,2011-08-24,2011,3,8,August,2011-08,24,5,Wednesday,0,11130,Wednesday,,,,,0,0,0
20110825,d_209,2011-08-25,2011,3,8,August,2011-08,25,6,Thursday,0,11130,Thursday,,,,,0,0,0
20110826,d_210,2011-08-26,2011,3,8,August,2011-08,26,7,Friday,0,11130,Friday,,,,,0,0,0
20110827,d_211,2011-08-27,2011,3,8,August,2011-08,27,1,Saturday,1,11131,Saturday,,,,,0,0,0
20110828,d_212,2011-08-28,2011,3,8,August,2011-08,28,2,Sunday,1,11131,Sunday,,,,,0,0,0
20110829,d_213,2011-08-29,2011,3,8,August,2011-08,29,3,Monday,0,11131,Monday,,,,,0,0,0
20110830,d_214,2011-08-30,2011,3,8,August,2011-08,30,4,Tuesday,0,11131,Tuesday,,,,,0,0,0
20110831,d_215,2011-08-31,2011,3,8,August,2011-08,31,5,Wednesday,0,11131,Wednesday,Eid al-Fitr,Religious,,,0,0,0
20110901,d_216,2011-09-01,2011,3,9,September,2011-09,1,6,Thursday,0,11131,Thursday,,,,,1,1,0
20110902,d_217,2011-09-02,2011,3,9,September,2011-09,2,7,Friday,0,11131,Friday,,,,,1,0,1
20110903,d_218,2011-09-03,2011,3,9,September,2011-09,3,1,Saturday,1,11132,Saturday,,,,,1,1,1
20110904,d_219,2011-09-04,2011,3,9,September,2011-09,4,2,Sunday,1,11132,Sunday,,,,,1,0,0
20110905,d_220,2011-09-05,2011,3,9,September,2011-09,5,3,Monday,0,11132,Monday,LaborDay,National,,,1,1,1
20110906,d_221,2011-09-06,2011,3,9,September,2011-09,6,4,Tuesday,0,11132,Tuesday,,,,,1,1,1
20110907,d_222,2011-09-07,2011,3,9,September,2011-09,7,5,Wednesday,0,11132,Wednesday,,,,,1,1,0
20110908,d_223,2011-09-08,2011,3,9,September,2011-09,8,6,Thursday,0,11132,Thursday,,,,,1,0,1
20110909,d_224,2011-09-09,2011,3,9,September,2011-09,9,7,Friday,0,11132,Friday,,,,,1,1,1
20110910,d_225,2011-09-10,2011,3,9,September,2011-09,10,1,Saturday,1,11133,Saturday,,,,,1,0,0
20110911,d_226,2011-09-11,2011,3,9,September,2011-09,11,2,Sunday,1,11133,Sunday,,,,,0,1,1
20110912,d_227,2011-09-12,2011,3,9,September,2011-09,12,3,Monday,0,11133,Monday,,,,,0,1,1
20110913,d_228,2011-09-13,2011,3,9,September,2011-09,13,4,Tuesday,0,11133,Tuesday,,,,,0,1,0
20110914,d_229,2011-09-14,2011,3,9,September,2011-09,14,5,Wednesday,0,11133,Wednesday,,,,,0,0,1
20110915,d_230,2011-09-15,2011,3,9,September,2011-09,15,6,Thursday,0,11133,Thursday,,,,,0,1,1
20110916,d_231,2011-09-16,2011,3,9,September,2011-09,16,7,Friday,0,11133,Friday,,,,,0,0,0
20110917,d_232,2011-09-17,2011,3,9,September,2011-09,17,1,Saturday,1,11134,Saturday,,,,,0,0,0
20110918,d_233,2011-09-18,2011,3,9,September,2011-09,18,2,Sunday,1,11134,Sunday,,,,,0,0,0
20110919,d_234,2011-09-19,2011,3,9,September,2011-09,19,3,Monday,0,11134,Monday,,,,,0,0,0
