forecast_model,inventory_policy,store_id,item_id,forecast_total_units,actual_demand_units,uncertainty_std_28,service_factor,safety_stock_units,order_quantity,served_units,shortage_units,leftover_units,fill_rate_percent,stockout_occurred,holding_cost_units,shortage_cost_units,total_cost_units,target_order_quantity,average_sell_price,unit_purchase_cost,priority_weight,scenario,allocation_method,allocated_order_quantity,operational_cost_units,purchase_spend,target_coverage_percent,budget_limit,capacity_limit,unconstrained_spend,unconstrained_units
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_011,77.5664,41.0,24.3011,0.9674,24,102,40.0,1.0,0.0,97.5609756097561,1,61.0,5.0,61.0,102,1.98,1.188,1.217733790755988,tight,milp_optimised,40,66.0,47.519999999999996,39.21568627450981,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_012,60.672,56.0,18.0803,0.9674,18,79,31.0,25.0,0.0,55.35714285714286,1,23.0,125.0,23.0,79,2.68,1.608,1.167068879520826,tight,milp_optimised,31,148.0,49.848000000000006,39.24050632911392,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_013,78.9084,94.0,30.4405,0.9674,30,109,75.0,19.0,0.0,79.7872340425532,1,15.0,95.0,15.0,109,2.58,1.548,1.2414782172073153,tight,milp_optimised,75,110.0,116.10000000000001,68.80733944954129,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_014,24.1603,31.0,13.0318,0.9674,12,37,14.0,17.0,0.0,45.16129032258064,1,6.0,85.0,6.0,37,1.98,1.188,1.0869010466623468,tight,milp_optimised,14,91.0,16.631999999999998,37.83783783783784,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_015,49.3666,41.0,41.5996,0.9674,40,90,36.0,5.0,0.0,87.8048780487805,1,49.0,25.0,49.0,90,1.78,1.068,1.229863573810743,tight,milp_optimised,36,74.0,38.448,40.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_016,73.5464,94.0,25.3541,0.9674,25,99,39.0,55.0,0.0,41.48936170212766,1,5.0,275.0,5.0,99,2.98,1.788,1.2145271718324637,tight,milp_optimised,39,280.0,69.732,39.39393939393939,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_017,4.6592,3.0,2.4302,0.9674,3,8,3.0,0.0,0.0,100.0,0,5.0,0.0,5.0,8,1.98,1.188,1.0164687986830478,tight,milp_optimised,3,5.0,3.564,37.5,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_018,39.9882,52.0,15.9651,0.9674,16,56,22.0,30.0,0.0,42.30769230769231,1,4.0,150.0,4.0,56,4.54,2.7239999999999998,1.1242555690463638,tight,milp_optimised,22,154.0,59.928,39.285714285714285,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_019,30.6453,71.0,7.063,0.9674,7,38,15.0,56.0,0.0,21.12676056338028,1,0.0,280.0,165.0,38,1.98,1.188,1.077157630210409,tight,milp_optimised,15,280.0,17.82,39.473684210526315,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_020,291.9417,284.0,135.8334,0.9674,132,424,284.0,0.0,140.0,100.0,0,140.0,0.0,140.0,424,0.9399999999999998,0.5639999999999998,1.9744903626688166,tight,milp_optimised,424,140.0,239.13599999999994,100.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_021,36.1377,41.0,9.9041,0.9674,9,46,18.0,23.0,0.0,43.90243902439025,1,5.0,115.0,5.0,46,2.48,1.488,1.0964887733305013,tight,milp_optimised,18,120.0,26.784,39.130434782608695,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_022,6.5359,10.0,3.4998,0.9674,3,10,4.0,6.0,0.0,40.0,1,0.0,30.0,0.0,10,1.98,1.188,1.023419271932338,tight,milp_optimised,4,30.0,4.752,40.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_023,47.4286,50.0,7.8386,0.9674,8,56,22.0,28.0,0.0,44.0,1,6.0,140.0,6.0,56,3.9799999999999995,2.3879999999999995,1.1086112061483018,tight,milp_optimised,22,146.0,52.53599999999999,39.285714285714285,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_024,48.9517,0.0,143.1361,0.9674,139,188,0.0,0.0,188.0,100.0,0,188.0,0.0,188.0,188,1.0,0.6,1.5838381430265016,tight,milp_optimised,188,188.0,112.8,100.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_025,37.7439,41.0,8.9134,0.9674,9,47,18.0,23.0,0.0,43.90243902439025,1,6.0,115.0,6.0,47,2.88,1.728,1.095778972726375,tight,milp_optimised,18,121.0,31.104,38.297872340425535,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_026,59.7591,58.0,8.5001,0.9674,8,68,27.0,31.0,0.0,46.55172413793103,1,10.0,155.0,10.0,68,1.98,1.188,1.1320400302185982,tight,milp_optimised,27,165.0,32.076,39.705882352941174,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_027,25.8061,15.0,9.9898,0.9674,10,36,14.0,1.0,0.0,93.33333333333333,1,21.0,5.0,21.0,36,2.0,1.2,1.0790935100032701,tight,milp_optimised,14,26.0,16.8,38.88888888888889,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_028,45.2696,38.0,7.0564,0.9674,7,53,21.0,17.0,0.0,55.26315789473685,1,15.0,85.0,15.0,53,3.88,2.328,1.1021811855633707,tight,milp_optimised,21,100.0,48.888,39.62264150943396,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_029,35.37,26.0,10.9493,0.9674,10,46,18.0,8.0,0.0,69.23076923076923,1,20.0,40.0,20.0,46,1.6,0.96,1.0988250265773272,tight,milp_optimised,18,60.0,17.28,39.130434782608695,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_030,239.1191,205.0,103.5872,0.9674,100,340,205.0,0.0,135.0,100.0,0,135.0,0.0,135.0,340,1.48,0.888,1.7713808981070647,tight,milp_optimised,340,135.0,301.92,100.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_031,33.3034,29.0,6.8015,0.9674,6,40,16.0,13.0,0.0,55.172413793103445,1,11.0,65.0,11.0,40,4.68,2.808,1.0807966139628404,tight,milp_optimised,16,76.0,44.928,40.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_032,39.7545,27.0,9.3944,0.9674,9,49,19.0,8.0,0.0,70.37037037037037,1,22.0,40.0,22.0,49,2.98,1.788,1.1009026875017094,tight,milp_optimised,19,62.0,33.972,38.775510204081634,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_033,11.7941,10.0,5.3869,0.9674,6,18,7.0,3.0,0.0,70.0,1,8.0,15.0,8.0,18,2.5,1.5,1.039016814929421,tight,milp_optimised,7,23.0,10.5,38.88888888888889,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_034,50.9913,69.0,11.788,0.9674,12,63,25.0,44.0,0.0,36.231884057971016,1,0.0,220.0,30.0,63,2.56,1.536,1.128508898731371,tight,milp_optimised,25,220.0,38.4,39.682539682539684,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_035,35.4548,28.0,6.7218,0.9674,6,42,16.0,12.0,0.0,57.14285714285714,1,14.0,60.0,14.0,42,4.18,2.5079999999999996,1.0842028473826126,tight,milp_optimised,16,74.0,40.12799999999999,38.095238095238095,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_036,20.5981,19.0,10.9639,0.9674,11,32,12.0,7.0,0.0,63.1578947368421,1,13.0,35.0,13.0,32,2.88,1.728,1.0735766264578273,tight,milp_optimised,12,48.0,20.736,37.5,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_037,176.2754,197.0,84.8492,0.9674,82,259,197.0,0.0,62.0,100.0,0,62.0,0.0,62.0,259,2.56,1.536,1.5982951478524983,tight,milp_optimised,259,62.0,397.824,100.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_038,19.544,25.0,7.2221,0.9674,7,27,10.0,15.0,0.0,40.0,1,2.0,75.0,2.0,27,4.98,2.988,1.0587005235630762,tight,milp_optimised,10,77.0,29.88,37.03703703703704,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_039,166.3572,173.0,66.6762,0.9674,64,231,173.0,0.0,58.0,100.0,0,58.0,0.0,58.0,231,3.9799999999999995,2.3879999999999995,1.5178269975719845,tight,milp_optimised,231,58.0,551.6279999999999,100.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_040,27.014,25.0,13.0333,0.9674,12,40,16.0,9.0,0.0,64.0,1,15.0,45.0,15.0,40,2.56,1.536,1.091793734849291,tight,milp_optimised,16,60.0,24.576,40.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_041,106.9998,139.0,33.85,0.9674,33,140,139.0,0.0,1.0,100.0,0,1.0,0.0,1.0,140,2.98,1.788,1.3014995286792006,tight,milp_optimised,140,1.0,250.32,100.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_042,90.0984,87.0,15.0905,0.9674,14,105,42.0,45.0,0.0,48.275862068965516,1,18.0,225.0,18.0,105,1.6800000000000002,1.008,1.2070227068565151,tight,milp_optimised,42,243.0,42.336,40.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_043,46.7816,46.0,23.7351,0.9674,23,70,28.0,18.0,0.0,60.86956521739131,1,24.0,90.0,24.0,70,2.56,1.536,1.163032426096803,tight,milp_optimised,28,114.0,43.008,40.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_044,21.8368,14.0,6.9995,0.9674,7,29,11.0,3.0,0.0,78.57142857142857,1,15.0,15.0,15.0,29,2.88,1.728,1.0618497533614433,tight,milp_optimised,11,30.0,19.008,37.93103448275862,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_045,11.0246,7.0,3.5572,0.9674,3,15,6.0,1.0,0.0,85.71428571428571,1,8.0,5.0,8.0,15,3.9799999999999995,2.3879999999999995,1.0313074454366862,tight,milp_optimised,6,13.0,14.327999999999996,40.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_046,42.4949,40.0,15.8125,0.9674,15,58,23.0,17.0,0.0,57.49999999999999,1,18.0,85.0,18.0,58,1.98,1.188,1.1280156616314863,tight,milp_optimised,23,103.0,27.323999999999998,39.6551724137931,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_047,48.4799,29.0,13.5191,0.9674,13,62,24.0,5.0,0.0,82.75862068965517,1,33.0,25.0,33.0,62,1.0,0.6,1.1302547394395868,tight,milp_optimised,24,58.0,14.399999999999999,38.70967741935484,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_048,45.583,46.0,10.435,0.9674,10,56,22.0,24.0,0.0,47.82608695652174,1,10.0,120.0,10.0,56,1.5,0.8999999999999999,1.1145199906942713,tight,milp_optimised,22,130.0,19.799999999999997,39.285714285714285,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_049,25.7006,24.0,7.0331,0.9674,7,33,13.0,11.0,0.0,54.166666666666664,1,9.0,55.0,9.0,33,4.74,2.844,1.0685845412790562,tight,milp_optimised,13,64.0,36.972,39.39393939393939,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_050,11.572,2.0,4.1519,0.9674,4,16,2.0,0.0,4.0,100.0,0,14.0,0.0,14.0,16,2.2399999999999998,1.3439999999999999,1.034322354859696,tight,milp_optimised,6,14.0,8.064,37.5,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_001,15.0125,5.0,9.973,0.9674,9,25,5.0,0.0,12.0,100.0,0,20.0,0.0,20.0,25,2.5,1.5,1.060548941971695,tight,proportional_heuristic,17,20.0,25.5,68.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_002,33.0824,37.0,33.4861,0.9674,32,66,37.0,0.0,6.0,100.0,0,29.0,0.0,29.0,66,2.548,1.5288,1.1736321945991801,tight,proportional_heuristic,43,29.0,65.7384,65.15151515151516,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_003,22.6687,15.0,16.7706,0.9674,16,39,15.0,0.0,10.0,100.0,0,24.0,0.0,24.0,39,3.6399999999999997,2.1839999999999997,1.0974067241819878,tight,proportional_heuristic,25,24.0,54.599999999999994,64.1025641025641,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_004,26.5785,24.0,7.0569,0.9674,7,34,21.0,3.0,0.0,87.5,1,10.0,15.0,10.0,34,5.98,3.588,1.070171232556619,tight,proportional_heuristic,21,25.0,75.348,61.76470588235294,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_005,14.7079,16.0,5.6627,0.9674,6,21,14.0,2.0,0.0,87.5,1,5.0,10.0,5.0,21,2.28,1.3679999999999999,1.044970613590258,tight,proportional_heuristic,14,15.0,19.151999999999997,66.66666666666666,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_006,13.4888,11.0,4.9844,0.9674,5,19,11.0,0.0,1.0,100.0,0,8.0,0.0,8.0,19,7.88,4.728,1.04051327349466,tight,proportional_heuristic,12,8.0,56.736,63.1578947368421,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_007,151.4111,52.0,68.4641,0.9674,66,218,52.0,0.0,94.0,100.0,0,166.0,0.0,166.0,218,0.25,0.15,1.498474704303477,tight,proportional_heuristic,146,166.0,21.9,66.97247706422019,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_008,37.6984,50.0,101.1057,0.9674,98,136,50.0,0.0,39.0,100.0,0,86.0,0.0,86.0,136,0.74,0.444,1.4177452405106417,tight,proportional_heuristic,89,86.0,39.516,65.44117647058823,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_009,14.8417,10.0,7.5833,0.9674,8,23,10.0,0.0,5.0,100.0,0,13.0,0.0,13.0,23,2.28,1.3679999999999999,1.0519087682688841,tight,proportional_heuristic,15,13.0,20.52,65.21739130434783,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_010,24.1869,18.0,5.801,0.9674,5,30,18.0,0.0,1.0,100.0,0,12.0,0.0,12.0,30,2.84,1.704,1.0616881259329012,tight,proportional_heuristic,19,12.0,32.376,63.33333333333333,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_011,77.5664,41.0,24.3011,0.9674,24,102,41.0,0.0,26.0,100.0,0,61.0,0.0,61.0,102,1.98,1.188,1.217733790755988,tight,proportional_heuristic,67,61.0,79.59599999999999,65.68627450980392,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_012,60.672,56.0,18.0803,0.9674,18,79,52.0,4.0,0.0,92.85714285714286,1,23.0,20.0,23.0,79,2.68,1.608,1.167068879520826,tight,proportional_heuristic,52,43.0,83.616,65.82278481012658,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_013,78.9084,94.0,30.4405,0.9674,30,109,71.0,23.0,0.0,75.53191489361703,1,15.0,115.0,15.0,109,2.58,1.548,1.2414782172073153,tight,proportional_heuristic,71,130.0,109.908,65.13761467889908,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_014,24.1603,31.0,13.0318,0.9674,12,37,24.0,7.0,0.0,77.41935483870968,1,6.0,35.0,6.0,37,1.98,1.188,1.0869010466623468,tight,proportional_heuristic,24,41.0,28.512,64.86486486486487,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_015,49.3666,41.0,41.5996,0.9674,40,90,41.0,0.0,18.0,100.0,0,49.0,0.0,49.0,90,1.78,1.068,1.229863573810743,tight,proportional_heuristic,59,49.0,63.012,65.55555555555556,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_016,73.5464,94.0,25.3541,0.9674,25,99,65.0,29.0,0.0,69.14893617021278,1,5.0,145.0,5.0,99,2.98,1.788,1.2145271718324637,tight,proportional_heuristic,65,150.0,116.22,65.65656565656566,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_017,4.6592,3.0,2.4302,0.9674,3,8,3.0,0.0,3.0,100.0,0,5.0,0.0,5.0,8,1.98,1.188,1.0164687986830478,tight,proportional_heuristic,6,5.0,7.128,75.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_018,39.9882,52.0,15.9651,0.9674,16,56,36.0,16.0,0.0,69.23076923076923,1,4.0,80.0,4.0,56,4.54,2.7239999999999998,1.1242555690463638,tight,proportional_heuristic,36,84.0,98.064,64.28571428571429,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_019,30.6453,71.0,7.063,0.9674,7,38,25.0,46.0,0.0,35.2112676056338,1,0.0,230.0,165.0,38,1.98,1.188,1.077157630210409,tight,proportional_heuristic,25,230.0,29.7,65.78947368421053,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_020,291.9417,284.0,135.8334,0.9674,132,424,278.0,6.0,0.0,97.88732394366197,1,140.0,30.0,140.0,424,0.9399999999999998,0.5639999999999998,1.9744903626688166,tight,proportional_heuristic,278,170.0,156.79199999999994,65.56603773584906,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_021,36.1377,41.0,9.9041,0.9674,9,46,30.0,11.0,0.0,73.17073170731707,1,5.0,55.0,5.0,46,2.48,1.488,1.0964887733305013,tight,proportional_heuristic,30,60.0,44.64,65.21739130434783,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_022,6.5359,10.0,3.4998,0.9674,3,10,7.0,3.0,0.0,70.0,1,0.0,15.0,0.0,10,1.98,1.188,1.023419271932338,tight,proportional_heuristic,7,15.0,8.315999999999999,70.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_023,47.4286,50.0,7.8386,0.9674,8,56,36.0,14.0,0.0,72.0,1,6.0,70.0,6.0,56,3.9799999999999995,2.3879999999999995,1.1086112061483018,tight,proportional_heuristic,36,76.0,85.96799999999998,64.28571428571429,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_024,48.9517,0.0,143.1361,0.9674,139,188,0.0,0.0,123.0,100.0,0,188.0,0.0,188.0,188,1.0,0.6,1.5838381430265016,tight,proportional_heuristic,123,188.0,73.8,65.42553191489363,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_025,37.7439,41.0,8.9134,0.9674,9,47,30.0,11.0,0.0,73.17073170731707,1,6.0,55.0,6.0,47,2.88,1.728,1.095778972726375,tight,proportional_heuristic,30,61.0,51.839999999999996,63.829787234042556,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_026,59.7591,58.0,8.5001,0.9674,8,68,45.0,13.0,0.0,77.58620689655173,1,10.0,65.0,10.0,68,1.98,1.188,1.1320400302185982,tight,proportional_heuristic,45,75.0,53.46,66.17647058823529,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_027,25.8061,15.0,9.9898,0.9674,10,36,15.0,0.0,9.0,100.0,0,21.0,0.0,21.0,36,2.0,1.2,1.0790935100032701,tight,proportional_heuristic,24,21.0,28.799999999999997,66.66666666666666,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_028,45.2696,38.0,7.0564,0.9674,7,53,34.0,4.0,0.0,89.47368421052632,1,15.0,20.0,15.0,53,3.88,2.328,1.1021811855633707,tight,proportional_heuristic,34,35.0,79.152,64.15094339622641,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_029,35.37,26.0,10.9493,0.9674,10,46,26.0,0.0,4.0,100.0,0,20.0,0.0,20.0,46,1.6,0.96,1.0988250265773272,tight,proportional_heuristic,30,20.0,28.799999999999997,65.21739130434783,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_030,239.1191,205.0,103.5872,0.9674,100,340,205.0,0.0,18.0,100.0,0,135.0,0.0,135.0,340,1.48,0.888,1.7713808981070647,tight,proportional_heuristic,223,135.0,198.024,65.58823529411765,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_031,33.3034,29.0,6.8015,0.9674,6,40,26.0,3.0,0.0,89.65517241379311,1,11.0,15.0,11.0,40,4.68,2.808,1.0807966139628404,tight,proportional_heuristic,26,26.0,73.008,65.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_032,39.7545,27.0,9.3944,0.9674,9,49,27.0,0.0,4.0,100.0,0,22.0,0.0,22.0,49,2.98,1.788,1.1009026875017094,tight,proportional_heuristic,31,22.0,55.428000000000004,63.26530612244898,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_033,11.7941,10.0,5.3869,0.9674,6,18,10.0,0.0,2.0,100.0,0,8.0,0.0,8.0,18,2.5,1.5,1.039016814929421,tight,proportional_heuristic,12,8.0,18.0,66.66666666666666,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_034,50.9913,69.0,11.788,0.9674,12,63,42.0,27.0,0.0,60.86956521739131,1,0.0,135.0,30.0,63,2.56,1.536,1.128508898731371,tight,proportional_heuristic,42,135.0,64.512,66.66666666666666,3392.37912,2749,5219.0448,3928
